D90,r,m,v,,
51.05974931,0.708166201,-0.371428571,-0.201876111,410,11
40.01784602,0.650927644,-0.371428571,-0.219813961,411,11
36.29049462,0.666974009,-0.371428571,0.056352968,412,11
22.1599639,0.610399007,-0.371428571,0.327816172,413,11
42.45664966,0.664393871,-0.371428571,-0.315072859,414,11
21.2739136,0.617222267,-0.371428571,-0.226736799,415,11
11.73469216,0.626998757,-0.371428571,0.746452675,416,11
41.28932065,0.76431567,-0.371428571,-0.055581466,417,11
27.63988423,0.777744911,-0.371428571,-0.352141716,418,11
32.19604324,0.768729316,-0.371428571,-0.435344298,419,11
30.23497974,0.731038597,-0.371428571,0.624540823,420,11
16.88446031,0.717554895,-0.371428571,0.071788494,421,11
30.56356,0.762127606,-0.371428571,0.433379714,422,11
25.3044502,0.788902428,-0.371428571,0.316097452,423,11
29.33826171,0.847240293,-0.371428571,0.247495256,424,11
20.47984375,0.818637425,-0.371428571,-0.342470476,425,11
11.16091394,0.804156833,-0.371428571,0.304716899,426,11
20.86316611,0.838782846,-0.371428571,0.454567478,427,11
35.72815696,0.835462765,-0.371428571,-0.553437866,428,11
17.74901687,0.859782684,-0.371428571,0.339330534,429,11
27.32033309,0.888358898,-0.371428571,0.212276275,430,11
53.09237798,0.842383627,-0.371428571,-0.428875972,431,11
17.17529621,0.839645363,-0.371428571,0.34545599,432,11
11.39055749,0.824965867,-0.371428571,0.179895561,433,11
11.20315581,0.833986394,-0.371428571,-0.105241991,434,11
17.93312577,0.859453586,-0.371428571,0.434924784,435,11
29.21642689,0.891665488,-0.371428571,0.051455923,436,11
29.69939225,0.844672147,-0.371428571,0.204091338,437,11
28.50998422,0.833374798,-0.371428571,0.111110093,438,11
30.46867244,0.844188367,-0.371428571,0.172814635,439,11
34.01823629,0.823083892,-0.371428571,0.145727317,440,11
20.21213497,0.754492756,-0.371428571,0.393224514,441,11
18.40771577,0.745876505,-0.371428571,0.155513189,442,11
17.48228818,0.914138843,-0.371428571,0.167269692,443,11
32.11238079,0.98111801,-0.314285714,-0.082149165,444,12
39.6698185,0.682374137,-0.314285714,-0.071903459,445,12
34.99910285,0.816989081,-0.314285714,-0.018179249,446,12
28.14370622,0.722953491,-0.314285714,0.396588657,447,12
